Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,5.666667,5.666667,5.5,5.5,1.839666,7200
1980-01-03,5.5,5.625,5.4375,5.4375,1.818761,16800
1980-01-04,5.5,5.666667,5.5,5.5,1.839666,2400
1980-01-07,5.5,5.666667,5.5,5.5,1.839666,9000
1980-01-08,5.8125,6.0,5.8125,5.8125,1.944193,50400
1980-01-09,6.0,6.166667,6.0,6.0,2.006909,28200
1980-01-10,6.25,6.416667,6.25,6.25,2.090528,21600
1980-01-11,6.3125,6.5,6.3125,6.3125,2.111434,15600
1980-01-14,6.541667,6.6875,6.541667,6.541667,2.188087,61200
1980-01-15,6.5625,6.75,6.5625,6.5625,2.195057,29400
1980-01-16,6.5625,6.75,6.5625,6.5625,2.195057,19800
1980-01-17,6.666667,6.8125,6.666667,6.666667,2.229897,7200
1980-01-18,6.791667,6.9375,6.791667,6.791667,2.271709,15600
1980-01-21,6.9375,7.125,6.9375,6.9375,2.320489,25800
1980-01-22,6.9375,7.125,6.9375,6.9375,2.320489,11400
1980-01-23,7.125,7.291667,7.125,7.125,2.383203,24600
1980-01-24,7.125,7.166667,7.0,7.0,2.341394,25200
1980-01-25,7.0,7.125,6.9375,6.9375,2.320489,16800
1980-01-28,6.9375,7.0625,6.916667,6.916667,2.313519,10200
1980-01-29,7.0,7.166667,7.0,7.0,2.341394,14400
1980-01-30,7.0,7.166667,7.0,7.0,2.341394,6600
1980-01-31,7.0,7.125,6.9375,6.9375,2.320489,31800
1980-02-01,6.9375,7.125,6.9375,6.9375,2.320489,12600
1980-02-04,6.9375,7.0625,6.916667,6.916667,2.313519,11400
1980-02-05,6.9375,7.125,6.9375,6.9375,2.320489,16200
1980-02-06,6.9375,7.0625,6.916667,6.916667,2.313519,18000
1980-02-07,6.916667,7.0625,6.916667,6.916667,2.313519,14400
1980-02-08,6.916667,7.0,6.8125,6.8125,2.278677,6600
1980-02-11,6.8125,6.8125,6.666667,6.666667,2.229897,11400
1980-02-12,6.666667,6.8125,6.666667,6.666667,2.229897,7200
1980-02-13,6.666667,6.8125,6.666667,6.666667,2.229897,7200
1980-02-14,6.666667,6.8125,6.666667,6.666667,2.229897,1200
1980-02-15,6.5625,6.5625,6.416667,6.416667,2.146277,21000
1980-02-19,6.416667,6.5,6.3125,6.3125,2.111434,12000
1980-02-20,6.375,6.541667,6.375,6.375,2.132339,28800
1980-02-21,6.416667,6.5625,6.416667,6.416667,2.146277,25800
1980-02-22,6.416667,6.5625,6.416667,6.416667,2.146277,2400
1980-02-25,6.416667,6.5,6.3125,6.3125,2.111434,12600
1980-02-26,6.3125,6.416667,6.25,6.25,2.090528,15000
1980-02-27,6.25,6.375,6.1875,6.1875,2.069624,600
