Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,9.7,9.7,9.686,9.686,9.686,9000
2021-09-28,9.67,9.79,9.67,9.73,9.73,42100
2021-09-29,9.73,9.73,9.73,9.73,9.73,100
2021-09-30,9.75,9.75,9.735,9.74,9.74,52800
2021-10-01,9.74,9.74,9.74,9.74,9.74,0
2021-10-04,9.74,9.78,9.74,9.78,9.78,11400
2021-10-05,9.74,9.8,9.74,9.8,9.8,123500
2021-10-06,9.76,9.78,9.76,9.77,9.77,1479200
2021-10-07,9.76,9.77,9.76,9.77,9.77,10500
2021-10-08,9.77,9.77,9.77,9.77,9.77,0
2021-10-11,9.74,9.77,9.72,9.73,9.73,74000
2021-10-12,9.72,9.72,9.72,9.72,9.72,400
2021-10-13,9.75,9.75,9.72,9.74,9.74,327200
2021-10-14,9.74,9.74,9.72,9.72,9.72,67000
2021-10-15,9.72,9.73,9.72,9.72,9.72,21000
2021-10-18,9.72,9.72,9.72,9.72,9.72,0
2021-10-19,9.74,9.74,9.71,9.71,9.71,243400
2021-10-20,9.71,9.72,9.71,9.71,9.71,17500
2021-10-21,9.72,9.74,9.71,9.73,9.73,435400
2021-10-22,9.73,9.75,9.73,9.73,9.73,65000
2021-10-25,9.75,9.76,9.74,9.76,9.76,82000
2021-10-26,9.76,9.76,9.76,9.76,9.76,0
2021-10-27,9.78,9.78,9.76,9.76,9.76,215100
2021-10-28,9.76,9.76,9.76,9.76,9.76,0
2021-10-29,9.73,9.73,9.73,9.73,9.73,100
2021-11-01,9.73,9.73,9.73,9.73,9.73,0
2021-11-02,9.75,9.78,9.75,9.78,9.78,656300
2021-11-03,9.78,9.78,9.75,9.75,9.75,900
2021-11-04,9.765,9.77,9.75,9.75,9.75,1300
2021-11-05,9.79,9.79,9.764,9.77,9.77,12400
2021-11-08,9.77,9.77,9.77,9.77,9.77,0
2021-11-09,9.77,9.77,9.77,9.77,9.77,0
2021-11-10,9.77,9.77,9.77,9.77,9.77,0
2021-11-11,9.79,9.79,9.79,9.79,9.79,1600
2021-11-12,9.79,9.79,9.78,9.78,9.78,410000
2021-11-15,9.78,9.78,9.78,9.78,9.78,290000
2021-11-16,9.78,9.78,9.78,9.78,9.78,175000
2021-11-17,9.77,9.78,9.77,9.77,9.77,151000
2021-11-18,9.79,9.79,9.79,9.79,9.79,5000
2021-11-19,9.8,9.8,9.8,9.8,9.8,1300
2021-11-22,9.81,9.81,9.81,9.81,9.81,6300
2021-11-23,9.82,9.83,9.82,9.82,9.82,11300
2021-11-24,9.83,9.83,9.83,9.83,9.83,5100
2021-11-26,9.83,9.83,9.83,9.83,9.83,0
2021-11-29,9.83,9.83,9.83,9.83,9.83,159700
2021-11-30,9.83,9.83,9.83,9.83,9.83,0
2021-12-01,9.83,9.83,9.83,9.83,9.83,0
2021-12-02,9.803,9.81,9.803,9.81,9.81,4900
2021-12-03,9.78,9.78,9.78,9.78,9.78,6000
2021-12-06,9.79,9.79,9.79,9.79,9.79,2000
2021-12-07,9.78,9.78,9.78,9.78,9.78,30100
2021-12-08,9.8,9.8,9.8,9.8,9.8,1000
2021-12-09,9.8,9.81,9.8,9.81,9.81,3400
2021-12-10,9.74,9.74,9.74,9.74,9.74,700
2021-12-13,9.78,9.78,9.78,9.78,9.78,13600
2021-12-14,9.78,9.78,9.78,9.78,9.78,300
2021-12-15,9.78,9.78,9.78,9.78,9.78,0
2021-12-16,9.75,9.75,9.75,9.75,9.75,5900
2021-12-17,9.741,9.741,9.741,9.741,9.741,100
2021-12-20,9.741,9.741,9.741,9.741,9.741,0
2021-12-21,9.741,9.741,9.741,9.741,9.741,0
2021-12-22,9.75,9.75,9.75,9.75,9.75,5200
2021-12-23,9.76,9.77,9.76,9.77,9.77,4300
2021-12-27,9.77,9.77,9.77,9.77,9.77,0
2021-12-28,9.78,9.78,9.78,9.78,9.78,100
2021-12-29,9.78,9.78,9.78,9.78,9.78,0
2021-12-30,9.78,9.78,9.78,9.78,9.78,0
2021-12-31,9.78,9.78,9.78,9.78,9.78,0
2022-01-03,9.78,9.78,9.78,9.78,9.78,0
2022-01-04,9.78,9.78,9.78,9.78,9.78,0
2022-01-05,9.78,9.78,9.78,9.78,9.78,0
2022-01-06,9.78,9.78,9.78,9.78,9.78,0
2022-01-07,9.78,9.78,9.78,9.78,9.78,0
2022-01-10,9.76,9.76,9.755,9.755,9.755,5100
2022-01-11,9.75,9.77,9.75,9.77,9.77,9700
2022-01-12,9.77,9.77,9.77,9.77,9.77,0
2022-01-13,9.77,9.77,9.77,9.77,9.77,0
2022-01-14,9.77,9.77,9.77,9.77,9.77,0
2022-01-18,9.77,9.77,9.77,9.77,9.77,0
2022-01-19,9.77,9.77,9.77,9.77,9.77,0
2022-01-20,9.77,9.77,9.77,9.77,9.77,0
2022-01-21,9.77,9.77,9.77,9.77,9.77,0
2022-01-24,9.72,9.75,9.72,9.75,9.75,1300
2022-01-25,9.73,9.77,9.73,9.77,9.77,2600
2022-01-26,9.77,9.77,9.75,9.75,9.75,9900
2022-01-27,9.76,9.77,9.755,9.765,9.765,2300
2022-01-28,9.755,9.78,9.75,9.77,9.77,14500
2022-01-31,9.77,9.77,9.74,9.77,9.77,1200
2022-02-01,9.77,9.78,9.77,9.78,9.78,20200
2022-02-02,9.78,9.79,9.78,9.79,9.79,7500
2022-02-03,9.79,9.81,9.78,9.79,9.79,405300
2022-02-04,9.8,9.8,9.8,9.8,9.8,300
2022-02-07,9.82,9.82,9.8,9.8,9.8,1900
2022-02-08,9.8,9.8,9.8,9.8,9.8,0
2022-02-09,9.8,9.8,9.8,9.8,9.8,3200
2022-02-10,9.81,9.81,9.81,9.81,9.81,100
2022-02-11,9.84,9.85,9.84,9.85,9.85,9200
2022-02-14,9.8,9.81,9.79,9.79,9.79,4600
2022-02-15,9.81,9.81,9.81,9.81,9.81,100
2022-02-16,9.83,9.83,9.8,9.8,9.8,400
2022-02-17,9.81,9.81,9.81,9.81,9.81,200
2022-02-18,9.79,9.83,9.79,9.83,9.83,300
2022-02-22,9.83,9.83,9.82,9.83,9.83,4100
2022-02-23,9.83,9.83,9.83,9.83,9.83,400
2022-02-24,9.81,9.855,9.81,9.81,9.81,400
2022-02-25,9.81,9.81,9.81,9.81,9.81,200
2022-02-28,9.833,9.833,9.828,9.828,9.828,400
2022-03-01,9.82,9.82,9.81,9.81,9.81,7600
2022-03-02,9.81,9.81,9.81,9.81,9.81,300
2022-03-03,9.82,9.82,9.82,9.82,9.82,5800
2022-03-04,9.84,9.84,9.84,9.84,9.84,2800
2022-03-07,9.87,9.87,9.87,9.87,9.87,100
2022-03-08,9.85,9.85,9.85,9.85,9.85,700
2022-03-09,9.85,9.88,9.85,9.88,9.88,209700
2022-03-10,9.87,9.875,9.85,9.85,9.85,4500
2022-03-11,9.85,9.86,9.84,9.85,9.85,1600
2022-03-14,9.85,9.85,9.85,9.85,9.85,0
2022-03-15,9.85,9.85,9.85,9.85,9.85,0
2022-03-16,9.86,9.86,9.85,9.85,9.85,5200
2022-03-17,9.85,9.85,9.85,9.85,9.85,0
2022-03-18,9.91,9.91,9.91,9.91,9.91,100
2022-03-21,9.9,9.95,9.9,9.95,9.95,800
2022-03-22,9.95,9.95,9.95,9.95,9.95,0
2022-03-23,9.87,9.87,9.87,9.87,9.87,200
2022-03-24,9.87,9.87,9.87,9.87,9.87,0
2022-03-25,9.88,9.88,9.88,9.88,9.88,800
2022-03-28,9.87,9.87,9.87,9.87,9.87,800
2022-03-29,9.88,9.88,9.87,9.87,9.87,102100
2022-03-30,9.87,9.88,9.87,9.87,9.87,108900
2022-03-31,9.91,9.91,9.91,9.91,9.91,600
2022-04-01,9.88,9.88,9.87,9.88,9.88,2100
2022-04-04,9.88,9.88,9.88,9.88,9.88,0
2022-04-05,9.88,9.88,9.88,9.88,9.88,0
2022-04-06,9.88,9.88,9.88,9.88,9.88,0
2022-04-07,9.88,9.88,9.88,9.88,9.88,0
2022-04-08,9.88,9.88,9.88,9.88,9.88,0
2022-04-11,9.95,9.95,9.9,9.91,9.91,1530800
2022-04-12,9.9,9.95,9.88,9.95,9.95,15800
2022-04-13,9.95,9.95,9.95,9.95,9.95,0
2022-04-14,9.95,9.95,9.95,9.95,9.95,0
2022-04-18,10.16,10.16,10.16,10.16,10.16,200
2022-04-19,10.03,10.03,9.88,9.88,9.88,4700
2022-04-20,9.99,9.99,9.88,9.88,9.88,4000
2022-04-21,9.91,9.92,9.88,9.88,9.88,5400
2022-04-22,9.88,9.88,9.88,9.88,9.88,0
2022-04-25,9.88,9.88,9.88,9.88,9.88,0
2022-04-26,9.88,9.88,9.88,9.88,9.88,300
2022-04-27,9.88,9.88,9.88,9.88,9.88,100
2022-04-28,9.88,9.88,9.88,9.88,9.88,100
2022-04-29,9.9,9.9,9.9,9.9,9.9,600
2022-05-02,10.38,10.38,10.0,10.0,10.0,300
2022-05-03,10.0,10.0,10.0,10.0,10.0,0
2022-05-04,10.0,10.0,10.0,10.0,10.0,0
2022-05-05,10.0,10.0,10.0,10.0,10.0,200
2022-05-06,9.9,9.915,9.875,9.88,9.88,134400
2022-05-09,9.94,9.94,9.88,9.88,9.88,2800
2022-05-10,9.87,9.87,9.87,9.87,9.87,300
2022-05-11,9.92,9.928,9.87,9.87,9.87,8300
2022-05-12,9.86,9.86,9.86,9.86,9.86,5200
2022-05-13,9.86,9.86,9.86,9.86,9.86,0
2022-05-16,9.86,9.86,9.86,9.86,9.86,0
2022-05-17,9.86,9.88,9.86,9.88,9.88,1100
2022-05-18,9.88,9.88,9.88,9.88,9.88,0
2022-05-19,9.86,9.88,9.86,9.87,9.87,7300
2022-05-20,9.87,9.87,9.87,9.87,9.87,0
2022-05-23,9.87,9.87,9.87,9.87,9.87,0
2022-05-24,9.87,9.87,9.87,9.87,9.87,0
2022-05-25,9.91,9.93,9.91,9.92,9.92,1300
2022-05-26,9.92,9.92,9.92,9.92,9.92,0
2022-05-27,9.92,9.93,9.92,9.93,9.93,2100
2022-05-31,9.93,9.93,9.93,9.93,9.93,0
2022-06-01,9.93,9.93,9.93,9.93,9.93,0
2022-06-02,9.93,9.93,9.93,9.93,9.93,0
2022-06-03,9.93,9.93,9.93,9.93,9.93,0
2022-06-06,9.88,9.88,9.88,9.88,9.88,15100
2022-06-07,9.88,9.88,9.88,9.88,9.88,0
2022-06-08,9.92,9.92,9.92,9.92,9.92,200
2022-06-09,9.92,9.92,9.92,9.92,9.92,0
2022-06-10,9.89,9.89,9.89,9.89,9.89,1000
2022-06-13,9.9,9.92,9.9,9.9,9.9,16700
2022-06-14,9.9,9.9,9.9,9.9,9.9,6200
2022-06-15,9.9,9.9,9.9,9.9,9.9,0
2022-06-16,9.9,9.9,9.9,9.9,9.9,13400
2022-06-17,9.9,9.9,9.9,9.9,9.9,0
2022-06-21,9.9,9.9,9.9,9.9,9.9,0
2022-06-22,9.94,9.94,9.94,9.94,9.94,100
2022-06-23,9.94,9.94,9.94,9.94,9.94,0
2022-06-24,9.94,9.94,9.94,9.94,9.94,0
2022-06-27,9.9,9.9,9.9,9.9,9.9,200
2022-06-28,9.9,9.9,9.9,9.9,9.9,300
2022-06-29,9.9,9.9,9.9,9.9,9.9,0
2022-06-30,9.9,9.9,9.9,9.9,9.9,0
2022-07-01,9.9,9.9,9.9,9.9,9.9,0
2022-07-05,9.9,9.91,9.9,9.91,9.91,26000
2022-07-06,9.91,9.91,9.91,9.91,9.91,0
2022-07-07,9.91,9.91,9.91,9.91,9.91,0
2022-07-08,9.935,9.98,9.935,9.95,9.95,1800
2022-07-11,9.95,9.95,9.95,9.95,9.95,0
2022-07-12,9.95,9.95,9.95,9.95,9.95,0
2022-07-13,9.96,9.98,9.95,9.97,9.97,184700
2022-07-14,9.97,9.99,9.96,9.97,9.97,75400
2022-07-15,9.97,9.97,9.96,9.96,9.96,75200
2022-07-18,9.96,9.97,9.96,9.96,9.96,217600
2022-07-19,9.97,9.99,9.97,9.98,9.98,38700
2022-07-20,9.97,9.99,9.956,9.99,9.99,85800
2022-07-21,9.98,9.99,9.96,9.99,9.99,690600
2022-07-22,9.97,10.0,9.93,9.98,9.98,309700
2022-07-25,9.33,9.69,9.31,9.42,9.42,97300
2022-07-26,9.74,10.15,9.52,9.83,9.83,42000
2022-07-27,9.71,11.5,9.27,9.57,9.57,186300
2022-07-28,9.67,9.95,8.5,9.25,9.25,134700
2022-07-29,10.35,12.31,9.38,10.1,10.1,569600
2022-08-01,10.19,10.94,9.61,10.11,10.11,233500
2022-08-02,10.76,13.13,10.6,10.89,10.89,549500
2022-08-03,10.89,10.89,7.99,8.0,8.0,210800
2022-08-04,8.0,8.0,6.84,7.76,7.76,160100
2022-08-05,7.64,8.5,7.186,7.88,7.88,187200
2022-08-08,7.82,8.19,7.64,7.77,7.77,257500
2022-08-09,7.84,8.63,5.92,8.28,8.28,392600
2022-08-10,7.7,10.0,7.25,8.2,8.2,557800
2022-08-11,8.0,8.8,7.18,8.64,8.64,227100
2022-08-12,8.32,8.6,7.51,7.75,7.75,185300
2022-08-15,7.8,7.8,6.59,6.719,6.719,226800
2022-08-16,6.9,7.74,5.33,5.68,5.68,404200
2022-08-17,5.7,5.7,5.12,5.25,5.25,206900
2022-08-18,5.39,5.39,4.3,4.77,4.77,181500
2022-08-19,4.77,5.775,4.4,5.19,5.19,544300
2022-08-22,6.17,8.33,5.3,7.63,7.63,5065200
2022-08-23,7.05,7.44,5.9,6.51,6.51,436300
2022-08-24,6.08,6.444,5.563,5.98,5.98,129100
2022-08-25,5.7,6.161,5.318,5.6,5.6,55500
2022-08-26,5.43,5.65,4.71,4.94,4.94,62500
2022-08-29,4.79,4.95,4.61,4.83,4.83,41400
2022-08-30,4.71,5.06,4.71,4.73,4.73,26000
2022-08-31,4.77,4.8,4.26,4.26,4.26,41700
2022-09-01,4.02,4.42,4.02,4.2,4.2,30900
2022-09-02,4.2,4.58,4.05,4.2,4.2,25000
2022-09-06,4.14,4.89,4.02,4.61,4.61,143200
2022-09-07,4.61,4.9,4.23,4.67,4.67,131900
2022-09-08,4.05,4.98,4.05,4.86,4.86,87400
2022-09-09,4.57,5.5,4.32,5.15,5.15,87900
2022-09-12,5.34,5.5,4.8,5.33,5.33,106900
2022-09-13,5.45,5.92,5.1,5.74,5.74,121500
2022-09-14,5.54,5.81,5.31,5.65,5.65,49300
2022-09-15,5.61,6.32,5.6,6.15,6.15,97200
2022-09-16,6.14,6.5,5.29,5.37,5.37,174800
2022-09-19,5.34,5.439,3.3,3.5,3.5,486100
2022-09-20,3.25,3.56,2.83,3.15,3.15,146300
2022-09-21,3.15,3.21,2.83,2.85,2.85,88300
2022-09-22,2.8,2.83,2.34,2.42,2.42,71500
2022-09-23,2.42,2.586,2.37,2.45,2.45,32400
2022-09-26,2.38,2.58,2.27,2.28,2.28,20700
2022-09-27,2.37,2.37,2.11,2.11,2.11,23200
