Date,Open,High,Low,Close,Adj Close,Volume
1999-09-23,345.0,380.0,220.0,230.0,230.0,875420
1999-09-24,246.875,265.0,205.0,217.5,217.5,235600
1999-09-27,239.375,259.375,220.0,220.0,220.0,100020
1999-09-28,216.25,220.0,186.25,205.0,205.0,103160
1999-09-29,203.75,204.375,178.75,182.5,182.5,46440
1999-09-30,185.0,200.625,170.0,185.0,185.0,87690
1999-10-01,186.25,233.59375,185.625,226.875,226.875,147200
1999-10-04,241.25,267.5,230.0,254.375,254.375,178620
1999-10-05,247.5,251.875,221.875,225.0,225.0,55940
1999-10-06,223.75,230.0,210.0,215.625,215.625,46960
1999-10-07,221.25,221.25,196.25,203.125,203.125,45040
1999-10-08,210.0,228.75,191.25,225.0,225.0,62100
1999-10-11,231.25,235.0,212.5,213.75,213.75,47570
1999-10-12,220.625,250.0,220.0,240.0,240.0,85400
1999-10-13,233.75,255.625,229.375,233.125,233.125,64960
1999-10-14,248.75,248.75,225.0,241.25,241.25,50650
1999-10-15,222.5,231.875,207.5,216.25,216.25,42750
1999-10-18,221.25,226.25,210.0,217.5,217.5,46240
1999-10-19,220.0,235.0,200.0,200.625,200.625,54560
1999-10-20,208.75,210.0,188.125,200.625,200.625,60850
1999-10-21,198.75,199.375,190.625,193.75,193.75,26220
1999-10-22,194.375,225.0,194.375,210.0,210.0,60250
1999-10-25,218.75,231.875,214.375,225.625,225.625,30450
1999-10-26,239.375,273.75,230.0,248.75,248.75,120550
1999-10-27,263.75,313.75,231.875,300.0,300.0,249060
1999-10-28,333.75,334.375,285.625,295.0,295.0,88630
1999-10-29,300.0,314.0625,280.0,291.25,291.25,29440
1999-11-01,275.0,290.0,269.375,282.5,282.5,16000
1999-11-02,278.75,320.0,277.5,300.0,300.0,37600
1999-11-03,310.0,325.0,298.75,321.25,321.25,33900
1999-11-04,328.75,354.375,300.0,310.0,310.0,40370
1999-11-05,315.0,335.0,283.75,290.0,290.0,14360
1999-11-08,283.75,425.0,273.75,420.0,420.0,116420
1999-11-09,448.125,455.0,356.25,390.0,390.0,155260
1999-11-10,385.0,417.5,365.0,377.5,377.5,38870
1999-11-11,388.75,390.0,353.75,368.75,368.75,27910
1999-11-12,375.0,377.5,321.25,360.0,360.0,34260
1999-11-15,360.0,395.0,346.25,360.0,360.0,23800
1999-11-16,350.0,402.5,350.0,396.25,396.25,45830
1999-11-17,402.5,420.0,370.0,373.75,373.75,24960
1999-11-18,381.875,427.5,380.0,427.5,427.5,56620
1999-11-19,428.125,428.75,400.0,419.375,419.375,27820
1999-11-22,416.25,420.0,376.25,378.125,378.125,30000
1999-11-23,368.75,376.875,346.25,356.25,356.25,28420
1999-11-24,357.5,395.0,346.25,382.5,382.5,22250
1999-11-26,386.25,391.25,383.75,385.0,385.0,7040
1999-11-29,398.75,427.5,397.5,422.5,422.5,37310
1999-11-30,447.5,477.5,409.375,420.0,420.0,52830
1999-12-01,420.0,433.75,402.5,413.75,413.75,15150
1999-12-02,417.5,482.5,405.0,466.25,466.25,58070
1999-12-03,481.875,497.5,425.0,437.5,437.5,32960
1999-12-06,447.5,485.0,435.0,482.5,482.5,28190
1999-12-07,485.0,507.5,463.75,503.75,503.75,30120
1999-12-08,518.75,625.0,508.125,577.5,577.5,46300
1999-12-09,626.25,634.375,500.0,537.5,537.5,57640
1999-12-10,555.0,565.0,530.0,543.75,543.75,18000
1999-12-13,545.0,545.0,505.0,540.3125,540.3125,18520
1999-12-14,541.25,541.25,470.0,475.0,475.0,14310
1999-12-15,420.0,449.375,410.0,416.25,416.25,51480
1999-12-16,420.3125,470.0,400.0,408.125,408.125,37490
1999-12-17,417.5,421.25,376.25,380.0,380.0,37470
1999-12-20,388.75,412.5,360.0,373.75,373.75,37900
1999-12-21,365.0,412.5,360.0,391.25,391.25,36070
1999-12-22,402.5,410.0,347.5,362.5,362.5,45420
1999-12-23,400.0,438.75,380.0,408.125,408.125,99960
1999-12-27,435.0,438.75,365.0,370.0,370.0,49930
1999-12-28,375.0,395.0,350.0,383.75,383.75,67670
1999-12-29,381.25,387.5,360.0,365.0,365.0,28860
1999-12-30,373.125,375.625,360.0,366.875,366.875,27880
1999-12-31,361.875,377.5,350.0,377.5,377.5,20640
2000-01-03,385.0,386.25,353.75,363.75,363.75,17370
2000-01-04,359.375,365.0,350.0,362.5,362.5,26400
2000-01-05,358.75,360.0,335.0,357.5,357.5,24760
2000-01-06,351.875,357.5,325.0,328.125,328.125,13230
2000-01-07,320.625,335.0,303.125,322.5,322.5,52250
2000-01-10,340.0,357.5,325.0,347.5,347.5,29640
2000-01-11,352.5,352.5,330.0,332.5,332.5,12760
2000-01-12,334.375,334.375,305.0,305.0,305.0,21750
2000-01-13,315.0,315.0,288.125,291.25,291.25,36610
2000-01-14,305.0,307.5,275.0,288.75,288.75,50610
2000-01-18,288.75,289.375,266.875,267.5,267.5,51300
2000-01-19,266.25,305.0,250.0,296.25,296.25,90870
2000-01-20,313.4375,381.25,300.0,360.625,360.625,91890
2000-01-21,410.0,419.375,381.25,404.375,404.375,122850
2000-01-24,450.0,460.0,418.75,422.5,422.5,85630
2000-01-25,430.625,442.5,418.75,435.0,435.0,41820
2000-01-26,440.0,450.0,412.5,432.5,432.5,46310
2000-01-27,450.0,473.75,365.0,405.0,405.0,76320
2000-01-28,390.0,400.625,347.5,351.25,351.25,37250
2000-01-31,356.25,356.25,315.0,346.25,346.25,25560
2000-02-01,355.0,397.1875,350.0,383.75,383.75,19490
2000-02-02,381.25,383.75,365.0,371.25,371.25,15490
2000-02-03,370.0,385.0,363.75,380.0,380.0,16580
2000-02-04,389.375,389.375,370.0,386.5625,386.5625,12360
2000-02-07,400.0,420.0,390.0,402.65625,402.65625,37620
2000-02-08,441.25,441.25,405.0,423.75,423.75,27500
2000-02-09,431.25,436.25,425.0,430.0,430.0,20910
2000-02-10,445.0,451.25,426.25,435.0,435.0,18580
2000-02-11,440.0,440.0,411.25,430.0,430.0,14180
2000-02-14,422.5,445.0,417.5,429.375,429.375,15110
2000-02-15,431.25,440.0,420.0,435.0,435.0,18400
2000-02-16,436.25,460.0,431.25,440.0,440.0,31670
2000-02-17,442.5,464.375,440.0,451.25,451.25,10840
2000-02-18,457.5,460.0,432.5,457.5,457.5,19530
2000-02-22,447.5,455.0,436.875,442.5,442.5,15000
2000-02-23,450.0,485.0,447.5,471.25,471.25,19130
2000-02-24,465.0,531.875,462.5,531.25,531.25,45420
2000-02-25,539.375,560.0,520.0,536.875,536.875,35460
2000-02-28,528.75,541.25,480.0,500.625,500.625,26730
2000-02-29,500.625,570.0,500.625,563.75,563.75,22100
2000-03-01,566.25,620.0,563.75,615.0,615.0,18330
2000-03-02,620.625,675.0,615.0,628.75,628.75,38100
2000-03-03,625.0,740.0,625.0,685.0,685.0,27350
2000-03-06,691.25,702.5,635.0,635.625,635.625,17600
2000-03-07,655.0,671.25,556.25,561.25,561.25,19060
2000-03-08,567.5,567.5,502.5,546.25,546.25,31540
2000-03-09,551.25,560.0,530.0,538.125,538.125,8260
2000-03-10,542.5,592.5,541.25,575.0,575.0,19180
2000-03-13,549.375,552.5,510.0,531.25,531.25,11680
2000-03-14,541.25,576.25,540.0,555.0,555.0,26460
