word,frequency
레,4
시,5
외식,1
경기,1
우려,2
목표,15
주가,13
장기적,2
관점,2
매수,3
투자,9
증권,13
하향,5
접근,1
통운,8
폭등,1
랠리,1
기,1
관,1
만주,1
이상,1
꿀,1
꺽,1
동,2
영상,2
바,5
유가,2
하락,2
호재,1
대,2
급등,3
특징,3
주,4
강세,2
알,1
리,3
해외,1
성장세,1
영향,3
실적,16
개선,5
기대,6
신고,1
기록,2
신한,2
제일제당,5
부진,2
이미,2
반영,2
영업,4
환경,1
바닥,1
눈,1
높이,1
상향,6
증권가,3
불확실,2
여전,2
올리브,3
영,4
과징금,1
리스크,1
의견,4
립,3
향,1
조정,1
공정위,1
조사,1
관련,1
확실성,1
잔존,1
신,1
식품,1
부문,1
판매,1
회복,4
추세,1
하나,4
모,1
부각,1
곡,1
물가,1
포함,1
선행,1
지표,1
우호적,1
최악,1
기점,1
반등,2
제작사,1
깜짝,3
콘텐츠,2
날갯짓,1
경쟁,1
심화,1
사업,1
다각화,1
박,1
당,1
장,3
망,1
엔,1
명가,1
난리,1
지옥,1
탈출,1
방긋,1
연말,2
서,1
프라이,1
다시,2
스포트라이트,1
또,1
도의,1
디,1
넷,1
톱,1
진입,1
흑자,5
전환,7
초반,1
분기,10
지속,1
비즈,1
스톡,1
성공,2
줄,1
내년,2
적자,2
대폭,1
전망,2
티,3
빙,3
구독료,1
인상,2
가격,1
등,1
호,1
예상,2
이익,2
더,2
벨,1
사주,2
분석,1
자,1
취득,1
그룹,2
물동량,2
약세,2
미래,2
평가,1
상태,1
택배,1
성장,2
양호,1
물량,1
관건,1
대신,5
임원,1
인사,1
준비,1
이재,1
경영진,2
대규모,1
물갈이,1
가능성,1
메리,2
가입자,1
수,3
롯데,1
글로벌,1
업계,1
몸값,1
주관,1
사,1
고민,1
한,2
삼성,1
제조,1
유통,2
시너지,1
본격화,1
시장,1
과도,2
총,1
상각,1
전,1
배,1
미만,1
진,1
정상화,1
유상,1
증자,1
후,2
주식,3
증가,1
난항,1
바이오,1
사채,1
최,1
승부수,1
독촉장,1
코로나,1
이전,1
근접,1
중국,1
긍정적,1
홍,1
정인,1
콘,1
텐트,1
중앙,1
대표,1
이사,1
사장,1
클릭,1
종목,2
팬,1
데,1
극복,1
역대,1
최고,2
저가,1
전략,1
유효,1
한류,1
위상,1
산업,1
초토화,1
유아,2
인,2
선,2
균,2
마약,1
스캔들,1
나비,1
효과,1
마켓,1
핫,1
주요,1
이슈,1
완벽,1
정리,1
위,1
리뷰,1
한국,1
과제,1
올해,2
반,2
토막,2
타고,1
기지개,1
유증,1
현물,1
출자,1
영화,1
표,1
소폭,1
상승,1
극장,2
스코어,1
천천히,1
관객,1
업,1
황,1
회복세,1
매출,1
셋,1
세대,1
교체,1
전진,1
배치,1
급락,1
이제,1
수익성,1
