word,frequency
증권,8
소식,1
연속,3
대,5
유지,2
올해,1
새내기,1
주,8
절반,1
공모,1
아래,1
에코,1
프로,1
머,2
티,1
리얼,1
무한,1
성장력,1
세종,1
풍향계,1
식품,7
기업,1
주가,4
장,1
차관,1
물가,3
잡기,1
총력전,1
항공,1
다시,2
날갯짓,1
분기,10
시장,4
센서스,1
상회,1
실적,25
눈길,2
우,2
기지개,2
매출액,2
호전,1
지속,2
모락모락,2
불,2
닭,2
해외,3
삼양,1
회사,1
동,2
영상,1
통운,2
바,2
유가,1
하락,2
호재,1
급등,1
앤,2
씨,2
인터내셔널,1
초강세,1
매출처,1
확대,2
성장,4
재개,1
가능성,2
신한,3
투자,6
부진,3
이미,2
반영,4
영업,4
환경,1
바닥,1
유,1
적어도,1
올리브,6
영,8
순항,1
독점,1
과징금,3
우려,2
예상,1
적,1
지도,1
목표,8
자회사,1
성에,1
홈런,1
역전,1
마트,2
강수,1
박동,1
휘,1
리포트,3
공매도,5
금지,5
음식료,1
고공,1
비행,1
리스크,1
여전,1
의견,3
립,3
불확실,1
향,1
상향,1
조정,2
공정위,1
조사,1
관련,1
확실성,1
잔존,1
화룡,1
점정,1
소맥,1
라면,1
과자,1
고,2
공비,1
이유,1
더,4
벨,2
정,1
균,1
하나,3
부사장,1
피닉스,1
다트,1
사태,1
반,2
꾀,1
청담,1
글로벌,1
화색,4
개선,7
기대,6
코스,5
피,3
기관,3
대량,2
매수,6
외국인,3
삼성전자,1
포스,1
코,1
하이,3
로,3
순,1
부문,2
판매,1
회복,4
추세,1
내년,3
전사,2
모,1
부각,4
곡,1
포함,1
선행,3
지표,3
우호적,3
수익성,4
회복세,1
상,2
상인,2
국내,3
가공,1
반등,2
구간,1
사업,2
주도,1
오늘,3
증시,3
와이지,1
엔터테인먼트,2
바이오,2
업,1
황,1
반전,1
안정적,2
이,2
베스트,1
전망,3
최악,1
기점,1
아주,1
포커스,1
계속,1
회사채,1
양극화,1
스프레드,1
국내외,1
화장품,1
적극,1
공략,1
우딘,1
주요,2
공시,1
한국전,1
메리,1
악화,2
강세,1
경쟁,1
심화,1
다각화,1
효과,3
시들,1
반도체,2
엔,1
소프트,1
신,1
작,1
출시,2
가이드,2
이번,1
추천,1
신규,1
점,1
리,2
뉴,1
얼,1
주목,2
청산,1
가치,1
개중,1
눈물,1
전면,1
변동성,1
장세,1
모멘텀,3
종목,2
집중,1
전,1
제자리,1
이젠,1
라,1
씨알,1
푸드,1
유기농,1
쌀,1
시리얼,1
인기,1
몰이,1
화제,1
점유율,1
쑥쑥,1
넥스트,1
아이,1
에이치,1
엘,1
사이언스,1
콧노래,2
향후,2
이익,3
솔,6
함영,1
오뚜기,1
대표,1
이사,1
회장,1
사주,2
분석,1
자,1
취득,1
그룹,2
잉,1
글,1
우드,1
랩,1
파,2
세,2
역시,1
껑충,1
특징,1
물동량,1
약세,1
한성,1
크린텍,1
거래일,2
폭풍,1
또,1
내수,1
내리막,1
연말,1
임원,1
인사,1
준비,1
이재,1
경영진,1
대규모,3
물갈이,1
불꽃,1
랠리,3
중국,4
단체,2
방문객,1
청신호,1
우양,1
매도,1
경계,1
우듬지,3
스마트,2
수출,1
대박,3
조짐,1
아모레,1
덩실덩실,1
할인,2
행사,2
정조준,1
뷰티,1
스킨,3
광,3
군제,3
박,1
주식,1
저가,1
전략,2
유효,2
이수,1
시스,1
말,1
이후,1
고성,1
눈높이,1
원가,1
부담,1
주춤,1
힘,2
마켓,1
핫,1
이슈,1
완벽,1
정리,1
위,1
리뷰,1
레,1
시,1
단기적,1
불가,1
이하,1
유통,1
가,1
레이더,1
진화,1
단백,1
가슴살,1
마녀,1
공장,1
폭등,1
최대,1
쇼핑,1
축제,1
폭,1
한국,2
카타르,1
협력,1
콜,1
마,1
가득,1
하향,1
메카,1
코리아,1
휘파람,1
거세,1
들썩,1
기,1
수요,1
증가,1
함박,1
웃음,1
현대,1
관광객,1
남양,1
유업,1
불끈,1
엔젤,1
산업,1
설탕,1
주류,1
가격,1
생필품,1
당국,1
방침,1
춤,2
맥스,1
잘,1
힘겨루기,1
